User ID,Text,Followers Count,Friends Count,Statuses Count
1.62E+18,"@ehsanmansuri پدرم شیمیایی جنگه 
مادرم ناراحتی قلبی داره 
تو تایم کورنا اوردمشون پیش خودم تا بتونم بیشتر مراقبشون باشم 
هیچوقت اون روزا رو یادم نمیره اون روزی که یه کصکش چلاق امد گفت: ورود واکسن آمریکایی و انگلیسی ممنوع 
تا مرداد و شهریور چقدر انسان مردن 
سید علی خامنه ای تو گور جدت ریدم کسکش",857,944,50847
1.62E+18,"@SirAleQthegreat @ehsanmansuri باشه. 
بماند که خامنه ای واکسن آمریکایی رو ممنوع کرد، که با افتضاح آمار آلمان و ژاپن و کلا فناوری mRNA خیلی هم کار خوبی بود.

مخبر هم اگر ۶ میلیون رو تولید نکرده بود، چین هم بهمون نمیداد وقتی خودش نیاز داشت. 

اصرار عجیب دارین برای به رخ کشیدن نفهمی، بی‌سوادی، و #بی‌وطنی تون",293,181,12357
1.62E+18,"@SaraAryan79 @ehsanmansuri اشتباه فهمیدی!
سید علی گفت واکسن آمریکایی ممنوع، خیلی هم طول نکشید که گند واکسن های آمریکایی در آمد!
از طرفی هم اگر ممنوع هم نشده بود معلوم نبود چقدر به ما می‌دادند و اگر هم می‌خواستند بدهند، مگر چند دوز می‌توانستند بدهند!",92,305,1724
1.62E+18,"۱-تکنولوژی ویرایش ژنوم Genome editing با CRSPR-Cas9 و چیزای جدیدتر که باهاش میشه هر نوکلئوتید رو‌بطور خیلی اختصاصی در ژنوم ویرایش و اصلاح کرد.
در کنار gene therapy و cell therapyکه تا مدتها ممنوع بود ولی با بحران کرونا و مجوز گرفتن واکسن mRNA راه براش باز شد https://t.co/ymaPZdQL9j",509,1811,20325
1.62E+18,"@BiiManam @MehdiMMJ بی پدر مادر داشت می‌گفت اون موقع که خامنه‌ای واردات واکسن رو ممنوع کرد، چرا شاهزاده به خامنه‌ای اعتراض نکرد!!!",2176,1935,16234
1.62E+18,"@ma_ahangaran یادته محمد علی این مقام معظمتون ورود واکسن آمریکایی و انگلیسی کرونا رو ممنوع کرد؟ تو مدتی که واکسیناسیون انجام بشه، چقدر مردن؟ لباست رو درآوردی... حافظت که سَره جاشه. این یه نمونه از صدها بی تدبیری(بخون جنایت). از کی داری حمایت میکنی!!! ؟؟؟
#مهسا_امینی",14,152,1455
1.62E+18,"@FAHDWDI منم الان رهبر رو شایسته رهبری نمیدانم ! 
چون وضیت مملکت و معیشت مردم داره زار میزنه !
شایسته نمیدانم چون دستور داد ورود واکسن ممنوع اما دستور نمیده به تمام مسئولین که همت کنند برای آبادی و ارزانی !
فکر من و شما کیلومترها فاصله داره !",3,29,117
1.62E+18,"@IranIntlbrk از كدوم دستاورد؟؟ از مرگ بر آمريكا گفتن وتابعيت انگليس وكانادا گرفتن براي نوه ها ميگي؟؟ يا از قتلهاي زنجيره اي؟؟ يا از دعوت مردم به بورس وخالي كردن جيبشون؟؟  يا از ممنوع كردن واكسن كرونا؟؟
#WomanLifeFreedom
#IRGCterrorists
#BoycottIRIDay",45,208,6212
1.62E+18,@Sarbaz_Rahbar14 @sobhan_70 بی پدر مادر وقتی ممنوع کردید ۶ ماه بعدش واکسن های جایگزین آوردید تو اون مدت هرکی همون فایزرو میزد ممکن بود زنده بمونه,28,198,4885
1.62E+18,"@Sarbaz_Rahbar14 @sobhan_70 اصن بگو یک میلیون کنتر که نمیندازه 😂
دو ماه بعد از اینکه رهخر حرومزادتون واکسن رو ممنوع کرد مادربزرگ من از کرونا فوت کرد چون شما پدرسگا واکسن وارد نکرده بودید از جایی هنوز البته شک دارم حتی ذره ای واستون مهم باشه
الان بری درمانگاها از کسی تست کرونا نمیگیرن میگن آنفولانزاست",28,198,4885
